<Trait>	GerminationCount	DaystoSilk	DaysToTassel	GDDDaystoSilk	GDDDaystoTassel	GDDAnthesis-SilkingInterval	TasselLength	MainSpikeLength	TasselPrimaryBranches	TasselBranchLength	SecondaryBranchNumber	PlantHeight	EarHeight	LeafLength	LeafWidth	UpperLeafAngle	MiddleLeafAngle	TilleringIndex	NIRStarch	NIRProtein	NIROil	NorthernLeafBlight	CobDiameter	CobWeight	EarDiameter	EarLength	SeedSetLength	EarRowNumber	TotalKernelVolume	EarWeight	EarRankNumber	20KernelWeight	RowQuality
Tzi11	6	117	117	964.80278	964.80278	0	280	205	15	178	1	145	60	725	78	70	65	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
Tzi16	8	102	102	964.80278	964.80278	0	309	147	28	230	5	175	90	903	90	85	80	NaN	68.86	13.34	4.79	2	NaN	NaN	37	140	NaN	16	60	62	NaN	3.5	1
Tzi18	5	106	106	964.80278	964.80278	0	382	264	19	278	5	180	105	945	101	80	75	NaN	61.27	18.39	5.06	3	31	20.35	43.5	130	105	14	55	52.5	21.5	3	1
Tzi25	7	99	98	954.02389	944.110555	9.913335	418	215	27	288	9	190	110	1013	101	80	62.5	NaN	NaN	NaN	NaN	2	30.5	27.9	38	159	112.5	13	75	78.5	20	5.25	2
Tzi8	1	NaN	NaN	NaN	NaN	NaN	237	181	6	218	1	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
Tzi9	6	119	119	964.80278	964.80278	0	274	182	27	166	0	165	NaN	868	92	70	NaN	1	NaN	NaN	NaN	3	NaN	NaN	36	126	107	NaN	NaN	NaN	NaN	NaN	2
U267Y	2	NaN	NaN	NaN	NaN	NaN	248	207	3	226	1	NaN	NaN	675	97	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
VA102	7	93	92	904.77389	896.413335	8.360555	297.5	229	5	178	0	115	35	597	68	75	70	0	70.46	11.89	4.2	4	23	9.4	33	115	97	16	40	36	14	3	2
Va14	4	105	102	964.80278	964.80278	0	329	272	8	178	0	125	40	718	94	75	62.5	0	NaN	NaN	NaN	3	22	12.6	36	124	104	NaN	30	NaN	NaN	2.8	3
Va17	11	95	92	924.110555	896.413335	27.69222	383	304	4.5	256	2	140	55	830	98	60	70	NaN	NaN	NaN	NaN	3	24	14.45	35	127.5	83	14	30	86	14.5	5.1	2
Va22	5	104	100	964.80278	964.80278	0	356	280	10.5	208	1	140	70	780	108	75	70	0	65.39	16.12	4.15	2	26	40.9	41	198	191	14	150	142	31	5.2	1
Va26	6	93	92	904.77389	896.413335	8.360555	279.5	125	16.5	188	2	130	40	632	74	70	65	0	68.65	14.55	3.07	5	24	19.8	37	151	117	12	NaN	68	19	4.9	1
Va35	5	87	86	832.163335	812.581665	19.581665	437.5	315	8	286	1	135	60	656	94	60	72.5	NaN	70.59	12.75	4.92	2	26.5	23.7	45	172	150	13	140	131.5	27	7.1	1
Va59	7	92	90	896.413335	870.55278	25.860555	329.5	277.5	7	218	0	135	45	665	92	65	72.5	NaN	70.54	12.35	6.23	2	24	13.5	37	125	106	12	60	63	20	4.6	1
Va85	2	107	107	964.80278	964.80278	0	351	329	3	278	0	150	55	716	88	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
Va99	8	87	86	832.163335	812.581665	19.581665	381	269	9	198	2	155	55	682	109	50	72.5	NaN	71.9	12.16	5.23	3	26.5	20.25	39	172.5	145	15	110	97.5	25	6.3	1
VaW6	2	94	94	913.634445	913.634445	0	287	238	4	208	0	85	25	731	61	15	65	NaN	NaN	NaN	NaN	NaN	24	18.9	34	184	123	16	70	62	27	2.7	3
W117Ht	3	80	80	720.831665	720.831665	0	NaN	NaN	NaN	NaN	NaN	90	30	NaN	NaN	NaN	57.5	NaN	NaN	NaN	NaN	5	NaN	NaN	33	87	79	NaN	NaN	NaN	NaN	NaN	3
W153R	6	84	83	778.55278	765	13.55278	227	137	18	98	1	115	60	531	83	55	45	NaN	68.91	14.76	2.97	6	24	10	34	112	105	12	NaN	59	26	4.6	1
W182B	6	73	73	633.413335	633.413335	0	266	146	13.5	188	3	135	25	620	86	60	NaN	NaN	67.45	15.68	4.2	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
W22	3	98	98	944.110555	944.110555	0	302	248.5	6.5	218	1	90	25	578	68	60	57.5	0	73.81	12.05	3.23	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
W22_R-rstd	8	99	94	954.02389	913.634445	40.384445	325	276	3	198	0	80	20	500	71	60	60	0	69.72	13.16	4.24	3	22	9.4	28	109	92	12	30	34	18.5	2.85	2
W64A	2	98	91	944.110555	881.610555	62.5	313.5	237.5	6	184	0	70	20	615	73	55	57.5	0	71.67	12.67	3.56	4	NaN	NaN	28	101	88	NaN	NaN	NaN	NaN	NaN	3
WD	1	80	80	720.831665	720.831665	0	NaN	NaN	NaN	NaN	NaN	125	45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7	18	10.7	32	134	106	NaN	30	NaN	NaN	5	4
Wf9	5	88	85	847.05278	793.884445	53.163335	353	246.5	10	268	2	165	55	726	87	30	50	NaN	67.66	15.55	3.68	6	29	27.7	44	160	144	16	130	115	33	3.9	2
Yu796NS	11	91	87	881.610555	832.163335	49.44222	436	324.5	7	356	1	155	70	730	61	45	67.5	NaN	70.14	13.51	4.89	3	25.5	16.25	45	109.5	108.5	13	115	98	22.5	6.15	2
