<Trait>	GerminationCount	DaystoSilk	DaysToTassel	GDDDaystoSilk	GDDDaystoTassel	GDDAnthesis-SilkingInterval	TasselLength	MainSpikeLength	TasselPrimaryBranches	TasselBranchLength	SecondaryBranchNumber	PlantHeight	EarHeight	LeafLength	LeafWidth	UpperLeafAngle	MiddleLeafAngle	TilleringIndex	NIRStarch	NIRProtein	NIROil	NorthernLeafBlight	CobDiameter	CobWeight	EarDiameter	EarLength	SeedSetLength	EarRowNumber	TotalKernelVolume	EarWeight	EarRankNumber	20KernelWeight	RowQuality
CM37	3	NaN	NaN	NaN	NaN	NaN	176.5	129	8	140	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CM7	4	83	83	765	765	0	283.5	225	4	156	0	85	15	463	62	NaN	NaN	0	NaN	NaN	NaN	7	26	6.2	34	101	85	14	50	NaN	18	3.6	1
CML10	6	NaN	NaN	NaN	NaN	NaN	357	218	16	284	2	NaN	NaN	891	79	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML103	6	102	102	964.80278	964.80278	0	360	260	14	316	2	175	110	898	103	80	70	NaN	68.27	14.57	3.67	3	28.5	21.8	38.5	157	132.5	13	90	74	29	4	1
CML108	5	105	105	964.80278	964.80278	0	327	280	5	224	2	125	55	733	103	80	65	NaN	62.68	11.87	4.94	3	34	23.4	39	126	97	18	50	47	16	2.1	3
CML11	8	119	119	964.80278	NaN	NaN	454	258	20	278	7	210	135	930	91	85	80	NaN	NaN	NaN	NaN	2	24	15	32	170	NaN	10	NaN	22	NaN	NaN	1
CML14	6	NaN	NaN	NaN	NaN	NaN	381	188	23	286	5	165	90	746	116	NaN	55	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
CML154Q	8	NaN	NaN	NaN	NaN	NaN	372	310	11	296	0	120	60	878	75	NaN	75	0	NaN	NaN	NaN	3	34	39.2	37	162	138	NaN	NaN	NaN	NaN	NaN	2
CML157Q	2	106	105	964.80278	964.80278	0	360	203	19	268	6	195	125	1056	117	80	80	NaN	NaN	NaN	NaN	3	26	11.2	39.5	138	104	16	50	46.5	18	3.2	3
CML158Q	8	NaN	121	NaN	964.80278	NaN	319	178	27	220	9	NaN	NaN	894	109	NaN	NaN	1	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML218	5	123	121	964.80278	964.80278	0	308	176	13	178	5	140	60	850	88	NaN	NaN	1	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
CML220	1	120	117	NaN	964.80278	NaN	295	148	27	176	4	95	35	672	77	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	34	144	123	NaN	NaN	NaN	NaN	NaN	2
CML228	7	NaN	NaN	NaN	NaN	NaN	353	217	9	274	6	155	100	835	62	NaN	75	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML238	1	125	121	NaN	NaN	NaN	358	221	33	240	9	160	75	909	107	NaN	65	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
CML247	2	123	121	964.80278	964.80278	0	331	240	16	244	1	170	85	968	97	NaN	70	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
CML254	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	941	85	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
CML258	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	851	75	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML261	7	NaN	NaN	NaN	NaN	NaN	382	240	27	228	6	170	NaN	887	107	NaN	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML264	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	764	88	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML277	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
CML281	8	NaN	NaN	NaN	NaN	NaN	319	209	21	228	3	NaN	NaN	887	102	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
CML287	9	NaN	NaN	NaN	NaN	NaN	387	229	22	266	4	NaN	NaN	NaN	NaN	NaN	75	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
CML311	2	NaN	NaN	NaN	NaN	NaN	403	260	20	252	6	175	80	710	80	55	50	NaN	NaN	NaN	NaN	2	31	26.2	39	146	NaN	18	NaN	41	NaN	NaN	3
CML314	7	122	118	NaN	NaN	NaN	430	237	17	286	5	230	125	967	83	75	70	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML321	7	NaN	121	NaN	964.80278	NaN	388	289	9	264	0	165	75	1056	107	NaN	NaN	NaN	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML322	10	NaN	NaN	NaN	NaN	NaN	327	266	4	224	0	130	75	853	83	30	55	0	NaN	NaN	NaN	2	22	7.5	33	124	NaN	12	30	23	NaN	1.7	1
